X,zip,list.price,beds,baths,sqft,lot.size,year.built,parking.spots,parking.type,original.list.price,last.sale.price
1,92503,250,4,2,1414,6970,1976,2,Garage,180,250
2,92505,259.9,3,2,1250,29908,1958,2,Garage,269.9,260
3,92504,179.999,3,2,1143,6534,1956,2,Garage,179.999,211
4,92504,215,3,2,997,6970,1954,1,Garage,219,215
5,92503,190,3,2,989,6543,1955,0,Other,179.9,204
7,92503,160,2,1.5,1466,10890,1955,2,Garage,155,160
9,92503,235,3,1.5,1300,6534,1954,1,Garage,245,240
10,92505,299.9,4,2,1595,7841,1981,2,Garage,299.9,310
11,92503,250,3,1.75,1473,10454,1954,4,Garage,250,265
13,92504,199,3,1,1044,6534,1956,2,Garage,199,210
14,92506,624,4,3.5,3488,166399,1976,2,Garage,649,615
15,92504,240,3,2,1105,6534,1976,4,Garage,240,242.5
16,92505,220,4,2,1568,11326,1978,2,Garage,220,248
17,92503,300,4,2,1900,28314,1912,2,Garage,300,325
18,92506,979.9,5,6.5,6215,23522,2007,12,Garage,979.9,979.9
19,92506,395,4,2.75,3443,23958,1958,2,Garage,425,395
20,92504,315,4,3,1896,7405,1989,3,Garage,315,300
21,92506,412.3,4,3.5,3425,21780,1987,6,Garage,412.3,415
22,92503,239.9,3,1,1086,7405,1946,1,Garage,259,234.9
24,92504,499.9,3,2,2600,43996,1972,30,Garage,499.9,499.9
25,92504,279.5,3,2,1536,6534,1977,4,Garage,279.5,284
26,92503,125,1,1,808,6970,1950,0,Other,125,125
27,92503,285,3,2,1785,9583,1948,2,Garage,285,289
28,92505,233,3,2,1110,6970,1978,2,Garage,233,240
29,92504,249.9,3,2,1000,6970,1976,2,Garage,259.9,249.9
30,92503,245,4,2.5,1540,2178,2005,2,Garage,245,250
31,92503,150,3,2,1188,9148,1959,2,Garage,150,150
32,92505,299,4,2,1398,7841,1970,5,Garage,299,289
33,92503,237,3,1.5,1327,13068,1953,2,Garage,237,237
34,92503,229,4,2,1352,6534,1959,2,Garage,229,225
35,92505,165,2,1,806,7841,1948,1,Garage,165,158
36,92503,155,2,1,927,3049,1927,0,Other,155,153
37,92504,229.9,3,1,876,8712,1953,2,Garage,240,232
38,92506,189.9,2,1,990,7405,1953,1,Garage,189.9,212
41,92505,269.9,4,2,1380,8276,1978,2,Garage,269.9,269.9
42,92503,209.9,2,2.5,1191,3049,2005,1,Garage,209.9,215
43,92506,150,3,1,848,6970,1952,4,Other,150,140
44,92505,239.9,3,1,1058,6970,1955,2,Garage,239.9,241
45,92504,229.9,3,2,1260,6534,1960,4,Garage,229.9,225
46,92504,199.9,3,1,1103,11761,1954,2,Garage,199.9,176
50,92504,259.9,3,1.75,1232,6970,1960,2,Garage,259.9,260
53,92503,295,4,2,1745,6970,1956,2,Garage,295,285
54,92503,181,4,2,1305,6534,1955,2,Garage,181,181.45
55,92504,178,3,1,996,6098,1927,2,Garage,178,178
56,92503,205,4,1.75,1487,6534,1955,2,Garage,205,218
58,92504,259,3,2,1254,9583,1957,2,Garage,259,255
59,92506,899.9,4,3.5,3867,51836,2004,4,Garage,899.9,860
60,92503,230,4,2,1253,6970,1956,2,Garage,250,235
61,92504,199,3,1.75,1623,9148,1959,2,Garage,199,195
62,92505,249.999,4,2,1338,7405,1964,2,Garage,249.999,267
63,92504,1799,4,4.25,4500,470448,2004,4,Garage,1999,1680
64,92505,219.9,2,2,1054,4356,1984,2,Garage,249.9,220
65,92503,289,3,1.75,1356,7841,1978,2,Garage,289,270
66,92503,348.5,4,3,1550,6534,1977,2,Garage,350,340
67,92503,285,3,2,1408,7405,1985,2,Garage,285,290
68,92505,243,3,2,1259,7405,1960,2,Garage,239.9,243
69,92505,209,3,2,1008,7405,1960,2,Garage,209,215
70,92503,176,3,1.5,1440,7841,1954,2,Other,176,185
71,92506,285,3,2,1736,6534,1976,2,Garage,279,276
72,92504,269,3,2,1652,6970,1958,4,Garage,269,269
73,92804,240,3,2,1385,6970,1960,4,Garage,240,250
74,92506,385,4,2,1947,13939,1963,0,Other,385,370
75,92504,130,2,1,864,8276,1948,2,Garage,115,156.2
76,92504,247.99,3,2,1041,13504,1951,2,Garage,247.99,245
78,92504,236,3,2,1552,10019,1947,2,Garage,236,244.6
79,92506,259.9,2,1,969,8276,1948,2,Garage,259.9,250
80,92504,233,3,2,1382,6970,1956,2,Garage,233,230
81,92504,269.9,3,1.75,1161,6970,1955,2,Garage,269.9,263.5
82,92506,299.9,3,2,1730,7841,1954,2,Garage,299.9,290
83,92503,228,3,2,1072,8712,1961,2,Garage,228,240
84,92503,230,3,2,1104,7405,1977,6,Garage,230,240
85,92503,214.9,3,1.5,1080,7405,1954,2,Garage,247.25,218
86,92503,154.9,2,1,884,5663,1958,1,Garage,174.9,157
87,92505,284.9,3,2,1469,10019,2006,2,Garage,284.9,284.9
88,92503,220,3,2,1270,8276,1957,2,Garage,220,215
89,92505,175,4,2.5,1586,10890,1966,2,Garage,175,160
90,92504,260,3,2,1184,8712,1958,2,Garage,260,265
91,92503,269.9,3,1.5,1419,7405,1957,2,Garage,279.9,269.9
92,92503,229,3,1.5,1122,16988,1955,2,Garage,229,245
93,92503,160,3,1.75,1116,9685,1959,1,Garage,160,178.5
94,92505,287.5,4,2.5,1883,3485,2007,2,Garage,287.5,290
96,92503,235,3,2,1072,8712,1961,2,Garage,235,235
99,92503,265,3,2,1303,7841,1958,2,Garage,230,270
100,92505,220,4,2.5,1883,3920,2007,2,Garage,230,229.1
101,92503,215.9,3,1.5,1360,13504,1945,0,Other,229.9,215
102,92504,230,3,2,1192,6534,1956,2,Garage,230,240
103,92503,305,4,2,1620,7841,1981,2,Garage,314,295
104,92503,199.9,4,2,1278,6970,1957,2,Garage,199.9,193
105,92504,249,3,1.75,1221,6534,1959,2,Garage,249,250
106,92503,220,4,1.75,1578,7841,1958,2,Garage,220,200
