Name,State,Perjury,Obstruction,Nvotes,Republican,conservatism,Votepercent,termends,First term
shelby,AL,0,1,1,1,92,43,2004,0
sessions,AL,1,1,2,1,100,43,2002,1
murkowsk,AK,1,1,2,1,68,34,2004,0
stevens,AK,0,1,1,1,58,34,2002,0
kyl,AZ,1,1,2,1,96,47,2000,1
mccain,AZ,1,1,2,1,80,47,2004,0
timhutch,AR,1,1,2,1,100,54,2002,1
lincoln,AR,0,0,0,0,36,54,2004,1
boxer,CA,0,0,0,0,0,51,2004,0
feinstei,CA,0,0,0,0,4,51,2000,1
allard,CO,1,1,2,1,100,44,2002,1
campbell,CO,1,1,2,1,72,44,2004,0
dodd,CT,0,0,0,0,4,52,2004,0
lieberma,CT,0,0,0,0,20,52,2000,0
biden,DE,0,0,0,0,16,52,2002,0
roth,DE,1,1,2,1,64,52,2000,0
graham,FL,0,0,0,0,8,48,2004,0
mack,FL,1,1,2,1,88,48,2000,0
cleland,GA,0,0,0,0,8,46,2002,1
coverdel,GA,1,1,2,1,92,46,2004,0
akaka,HI,0,0,0,0,4,57,2000,1
inouye,HI,0,0,0,0,4,57,2004,0
craig,ID,1,1,2,1,84,34,2002,0
crapo,ID,1,1,2,1,92,34,2004,1
durbin,IL,0,0,0,0,4,54,2002,1
fitzgera,IL,1,1,2,1,80,54,2004,1
bayh,IN,0,0,0,0,40,42,2004,1
lugar,IN,1,1,2,1,64,42,2000,0
grassley,IA,1,1,2,1,80,50,2004,0
harkin,IA,0,0,0,0,12,50,2002,0
brownbac,KS,1,1,2,1,100,36,2004,1
roberts,KS,1,1,2,1,68,36,2002,1
bunning,KY,1,1,2,1,92,46,2004,1
mcconnel,KY,1,1,2,1,88,46,2002,0
breaux,LA,0,0,0,0,20,52,2004,0
landrieu,LA,0,0,0,0,16,52,2002,1
collins,ME,0,0,0,1,48,52,2002,1
snowe,ME,0,0,0,1,44,52,2000,1
mikulski,MD,0,0,0,0,4,54,2004,0
sarbanes,MD,0,0,0,0,0,54,2000,0
kennedy,MA,0,0,0,0,4,62,2000,0
jkerry,MA,0,0,0,0,0,62,2002,0
abraham,MI,1,1,2,1,76,52,2000,1
levin,MI,0,0,0,0,0,52,2002,0
grams,MN,1,1,2,1,100,51,2000,1
wellston,MN,0,0,0,0,4,51,2002,0
cochran,MS,1,1,2,1,56,44,2002,0
lott,MS,1,1,2,1,72,44,2000,0
ashcroft,MO,1,1,2,1,100,48,2000,1
bond,MO,1,1,2,1,76,48,2004,0
baucus,MT,0,0,0,0,4,41,2002,0
burns,MT,1,1,2,1,88,41,2000,0
hagel,NE,1,1,2,1,80,35,2002,1
bkerrey,NE,0,0,0,0,4,35,2000,0
bryan,NV,0,0,0,0,4,44,2000,0
hreid,NV,0,0,0,0,8,44,2004,0
gregg,NH,1,1,2,1,76,49,2004,0
bobsmith,NH,1,1,2,1,96,49,2002,0
lautenbe,NJ,0,0,0,0,0,53,2000,0
torricel,NJ,0,0,0,0,16,53,2002,1
bingaman,NM,0,0,0,0,0,50,2000,0
domenici,NM,1,1,2,1,60,50,2002,0
moynihan,NY,0,0,0,0,12,59,2000,0
schumer,NY,0,0,0,0,19,59,2004,1
edwards,NC,0,0,0,0,40,44,2004,1
helms,NC,1,1,2,1,100,44,2002,0
conrad,ND,0,0,0,0,16,40,2000,0
dorgan,ND,0,0,0,0,16,40,2004,0
dewine,OH,1,1,2,1,68,48,2000,1
voinovic,OH,1,1,2,1,60,48,2004,1
inhofe,OK,1,1,2,1,100,40,2002,1
nickles,OK,1,1,2,1,96,40,2004,0
gorsmith,OR,1,1,2,1,72,47,2002,1
wyden,OR,0,0,0,0,8,47,2004,1
santorum,PA,1,1,2,1,84,49,2000,1
specter,PA,0,0,0,1,32,49,2004,0
chafee,RI,0,0,0,1,24,60,2000,0
jackreed,RI,0,0,0,0,0,60,2002,1
hollings,SC,0,0,0,0,8,44,2004,0
thurmond,SC,1,1,2,1,96,44,2002,0
daschle,SD,0,0,0,0,4,43,2004,0
johnson,SD,0,0,0,0,12,43,2002,1
frist,TN,1,1,2,1,72,48,2000,1
thompson,TN,0,1,1,1,88,48,2002,1
gramm,TX,1,1,2,1,100,44,2002,0
kaybhut,TX,1,1,2,1,92,44,2000,1
bennett,UT,1,1,2,1,68,33,2004,0
hatch,UT,1,1,2,1,68,33,2000,0
jeffords,VT,0,0,0,1,21,54,2000,0
leahy,VT,0,0,0,0,13,54,2004,0
robb,VA,0,0,0,0,4,45,2000,0
warner,VA,0,1,1,1,80,45,2002,0
gorton,WA,0,1,1,1,60,51,2000,0
murray,WA,0,0,0,0,0,51,2004,0
byrd,WV,0,0,0,0,16,51,2000,0
rockefel,WV,0,0,0,0,8,51,2002,0
feingold,WI,0,0,0,0,8,49,2004,0
kohl,WI,0,0,0,0,20,49,2000,0
enzi,WY,1,1,2,1,88,37,2002,1
thomas,WY,1,1,2,1,84,37,2000,1
